,,
2015,"Das MÃ¤dchen aus dem Moor, Regie: Axel Bart",TV-Film
2015,"Nord bei Nordwest, Regie: Jochen Alexander Freydank",TV-Film
2014,"Harter Brocken, Regie: Stephan Wagner",TV-Film
2014,"Tatort Dortmund, Regie: ZÃ¼li Aladag",TV-Reihe
2014,"In your dreams, Regie: Ralph Strasser",TV-Serie
2013,"Soko Stuttgart (Episodenhauptrolle), Regie: Didi Danquart",TV-Serie
2013,"Mein Lover, sein Vater und ich, (nominiert fÃ¼r den deutschen KomÃ¶die Preis 2014) Regie: Holger Haase",TV-Film
2013,"Tatort Dortmund, Regie: Andreas Herzog",TV-Serie
2013,"Am Ende ist man tot, Regie: Daniel Lommatzsch",Kinofilm
2012,"Die Frau in mir/ Zur Sache Macho, Regie: Michael Rowitz",TV-Film
2012,"Soko Wismar - Hinter verschlossenen TÃ¼ren, Regie: Felix Herzogenrath",TV-Serie
2011,"An Enemy to die for, Regie: Peter Dalle",Kinofilm
2010,"GroÃstadtrevier, Regie: Felix Herzogenrath",TV-Serie
2009,"Ein Fall fÃ¼r Zwei, Regie: Claus Theo GÃ¤rtner",TV-Serie
2008,"Tatort - Bremen, Regie: Thomas Jauch",TV-Film
2007,"Das Feuerschiff, Regie: Florian GÃ¤rtner",TV-Film
