"synonym"
"Dāūdpur"
"* Dorcadion graecum (Waltl, 1838)"
"* Microplitica (Meyrick, 1935)"
"*Melolontha maculicollis (Zubkoff, 1833)"
"*Epicorsia prumnides (H. Druce, 1895)"
"*Pleonectusa aurata (Butler, 1887)"
"*Scoparia delphusa (H. Druce, 1896)"
"*Callidula abisara (Butler, 1879)"
"*Alucita ussuriensis (Caradja, 1920)"
"Stara Dąbrowa Commune"
"*Melitaea carmana (Fruhstorfer, 1915)"
"*Thagora castanella (Hampson, 1896)"
"*Scolia amoena (Cresson, 1856)"
"*Exorista noctuarum (Rondani, 1865)"
"Espinar"
"Sidlaphadi, Badami"
"P. necessarius subsp. asymbioticus, Polynucleobacter sp. MWH-JaK3"
"*Cypa mirabilis (Rothschild, 1894)"
"*Plusia beckeri (Staudinger, 1861)"
"Paracregya"
"*Bothriomyrmex corsicus mohelensis (Novak, 1941)"
"*Tortrix clarkei (Philpott, 1930)"
"Helle"
"* Helladia humeralis ab. pontica (Ganglbauer, 1884)"
"* Plagiohammus ornator (Bates, 1885)"
"* Cleisostoma rostratum (Lindl.) Garay (1972)"
"*Glaucopis elegantula (Herrich-Schäffer, 1866)"
"*Astridia (Kiriakoff, 1948)"
"* Ochrobactrum pituitosum (Huber et al. 2010)"
"*Tischeria longiciliatella (Rebel, 1896)"
"*Dichomeris thryptica"
"*Asura inae (Kiriakoff)"
"Renick"
"*Cisthene rufibasis (Felder, 1875)"
"Majurhand"
"Hipponyx (Defrance, 1819) (alternate representation)"
"Myers Lake"
"* Tetraodon cutcutia (F. Hamilton, 1822)"
"Piersonia (Harkn.(1899)"
"*Tipula speculum (Zetterstedt, 1838)"
"Sphaeria coryli (Batsch, (1789)"
"*Leptoctenista (Walker, 1891)"
"*Cataclysta confusalis (Walker, 1866)"
"""petlal"" ""pan"" (Nahuatl)."
"* Punctum lederi var. meridionalis (O. Boettger, 1905) (junior synonym)"
"*Menestho (Noemiamea) (subgenus)"
"Kemmannugundi"
""
"Hsü-chou, Süchow"
"*Harpalus orientis (Schauberger, 1926)"
"*Thecla attilia (Bremer, 1861)"
"*Oecophora lavandulae (J. J. Mann, 1855)"
"Bulla albocincta (Van der Hoeven, 1839)"
"*Cataclysta delicata (Moore,[1887])"
"*Eudalimia (Hübner, 1821)"
"*Macrosila darius (Ménétriés, 1857)"
"Mal"
"Streptomyces capensis"
"* Jaminia exigua Couthouy, 1838"
"*Libisosa butesalis (Walker, 1859)"
"Gustav Adolfs"
"Ellakal, Ellackal, Ellakkallu"
"Krong Poipet"
"* Batrachorhina mirei (Breuning, 1977 nec Breuning, 1969)"
"Corethrogyne scabra (Greene)"
"تيسينت"
"Shargol"
"*Edriolychnus macracanthus (Regan and Trewavas 1932)"
"*Ancalidia etiennei (Viette, 1975)"
"* Syntherata aliena (Schüssler, 1934)"
"Pocheonia terrae"
"* Agelasta mystica (Pascoe, 1869)"
"*Hypocoena variana (Morrison, 1876)"
"*Commophila contrastana (Kearfott, 1907)"
"khahare"
"Singhwa"
"Odostomia (Boonea) okumurai Hori, S. & T.A. Okutani, 1996"
"*Ergalatax foliacea (Conrad, 1837)"
"*Systaticospora (Bethune-Baker, 1908)"
"*Phalaena (Noctua) floccida Esper, 1788"
"Cerithium procerum (Kiener, 1841)"
"* Venustas cunninghami regifica (Finlay, 1927)"
"Aspididris (Weber, 1950)"
"ⴰⵣⴰⵖⴰⵔ"
"* Amphorina alberti (Quatrefages, 1844 non Trinchese, 1877)"
"Nacobbus serendipiticus bolivianus"
"Urashii"
"* Paraglenea theaphia (Bates, 1884)"
"*Automolis lindenmannae (Pinhey, 1976)"
"*Aizoon propinquum Eckl. & Zeyh."
"Merogomphus longistigma tamaracherriensis Fraser, 1931"
"Mucilopilus (Wolfe (1979)"
"* Parapauroplus (Zhang in Zhang & Wang, 1993)"
"*Xynophila (Malloch & Cain (1971)"
"*Crenavolva azumai (Cate, 1970)"
"*Macropiratis halieutica (Meyrick, 1932)"
"Cantera"
"Nassa francolinus (Bruguière, 1789)"
"Leysera montana (Bolus)"
"*Glyphodes ochrivitralis (Hampson, 1899)"
"*Noctua scrobiculata (Fabricius, 1775)"
"* Leptura oculata (Geoffroy, 1785)"
"Kaasti"
" Чаламдя"
"Jairāmpur Pānde"
"Yanping"
"*Eoophyla snelleni (Semper, 1902)"
"Los Roques"
"al-Kader"
"* Mitra episcopalis (Linnaeus, 1758)"
"* Hypselomus amazonicus (Thomson) Bates, 1865)"
"* Bulla solidula (Linnaeus, 1758) (original combination)"
"*Prionia (Hübner,[1819])"
"Ловчицы"
"*Fomes volvatus var. torreyi (W.R.Gerard) Sacc.)"
"*Agrotis gypsina (Lower, 1897)"
"Tortrix dentana (Hübner,[1799])"
"*Pachylaelia (Butler, 1878)"
"* A. ochraceolus (Gonçalves, 1961)"
"*Habenaria stenantha var. auriculata"
"Physa (Ameria) carinata H. Adams, 1861"
"Šamšon"
"Pyramidella (Cossmannica) discreta (Saurin, 1959)"
"* Physocephala petiolata (Linnaeus, 1767)"
"Megapalaeolenus, Schistocephalus"
"Maganoy"
"*Spargonothis (Hübner,[1825])"
"*Danaka (Moore, 1879)"
"Clypeola tenuis (Gray, 1867) (basionym)"
"* Eulima balteata ( Preston, 1908 )"
"*Siccia minima (Singh, Singh & Joshi, 2014)"
"*Zethenia contiguaria (Leech, 1897)"
"* Murexsul cuvierensis (Finlay, 1927)"
"Sandy Hills"
"*Arctus immaturus (Bate, 1888)"
"* Plekocheilus marmoratus"
"Katarki"
"* Eulima beryllina ( Monterosato, 1878 )"
"*Luceria loculata (Morrison, 1874)"
"Genus:"
"*Chalcoela discedalis (Möschler, 1890)"
"*Dendrolasma (Suzuki 1974)"
"* Mycerinus humerosus (Thomson, 1865)"
"Ponera gigantea (Perty, 1833)"
"* Eunidia djiboutiana (Breuning, 1974)"
"*Psapharochrus melanostictus (Auctt. (misspelling)"
"Khneifis"
"* Dorcadion sutura-alba (Desbrochers, 1870)"
"*Trochus solaris (Linnaeus, 1764)"
"Pyuthan Khalanga"
"Naematoloma naematoliforme (Guzmán) Guzmán (1980)"
"* Helix arenicola (Tate, 1878) (unavailable: not Helix arenicola Lowe, Lowe, 1854)"
"Tsawarong"
"*Pterygospidea tergemira (Hewitson, 1877)"
"* Omphalotropis (Chalicopoma) (Möllendorff, 1894) (original rank)"
"* Epidendrum citrinum (La Llave & Lexarza) Reichenbach f.)"
"Quercus ×moreha"
"Ennea (Elma) (H. Adams, 1866) (original rank)"
"* Nyphona thoracica (White, 1858)"
"*Cryptotermes rospigliosi"
"Oporów Commune"
"*Amallectis frangula (Clarke, 1968)"
"Indan"
"Semiota transversestrigella (Dietz, 1905)"
"South East Zone"
"Nanchao"
"*Nephopteryx consobrinella (Zeller 1872)"
"* Limacina helicialis (Lamarck, 1819)"
"*Neophruda (Hampson, 1897)"
"* Turbonilla pellucida affinis (W.H. Turton, 1932)"
"*Tortrix endela (Walsingham, 1914)"
"* Cilioflagellata (Claparède & Lachmann, 1868)"
"* Abraxides (Aurivillius, 1882)"
"Kingchow"
"*Papilio sphinx (Fabricius, 1775)"
"Brantingham"
"*Arrhenes colattus ( (Plötz, 1885) )"
"*Teriomima pusio (Grose-Smith, 1898)"
"Padam"
"Borkhausenia lambdella (Donovan, 1793)"
"Perinnanam, Peringanam"
"Pinagsangahan"
"Zeita"
"*Phryganodes patricialis (Schaus, 1912)"
"*Maenas fosteri (Hampson, 1905)"
"*Euchaetes aurata (Butler, 1875)"
"* Symphyletes defloratus (Pascoe, 1869)"
"Genus:"
"("
"* Ismene murdava  (Moore, 1866)"
"*Glipa stenaloides (Blair, 1931)"
"Kotebarh"
"*Hyposcada idina (Haensch, 1905)"
"* Prosoplus latus (Breuning, 1939)"
"*Cerostoma mienshani (Caradja, 1939)"
"*Demas diversicolor (Morrison, 1875)"
"Talikot"
"Lentigobalcis (Habe, 1961)"
"* Trichotropis saintjohnensis (Verkrüzen, 1877)"
"*Lavinia lavinia (Fawcett, 1916)"
"* Murex hippocastanum Wood, 1825"
"San Jerónmio Aculco"
"*Nymphula alaicalis (Caradja, 1917)"
"* Eudicella euthalia collinsi Allard, 1984"
"* Gnoma sublaevifrons (Schwarzer, 1926)"
"*Sparus pagrus( Linnaeus, 1758)"
"*Nagia (Walker, 1866)"
"* Autodorcadion holosericeum"
"Богдашкина"
"*Cosmophylla oxygramma (Turner, 1908)"
"Kwangteh"
"* Teramachia dupreyae (Emerson, 1985)"
"Illanthakunta"
"*Rhinaxime (Berg, 1882)"
"* Quercus pannosifolia (C.H.Mull.)"
"Hypoxylon discretum"
"* Vexillum rugata Dautzenberg, Ph., 1935"
"*Galgula subpartita (Guenée, 1852)"
"Numerous, see [[#Synonyms"
"*Hypochalcia romanovi (Ragonot, 1893)"
"* Strombus crassum (Lamarck, J.B.P.A. de, 1822)"
"*Castnia hechtiae (Dyar, 1910)"
"Conus (Virroconus) (Iredale, 1930)"
"* Erronea pulchella pulchella (Swainson, 1823)"
"*Bryophila discivaria (Walker, 1856)"
"Borough of Dartford"
"Valestrandsfossen"
"*Prochoerodes transversata (Drury, 1770)"
"Terrimonas pekingense"
"Illavatura"
"*Tithorea furea var. salvadoris (Staudinger, 1885)"
"Siikais"
"Portela"
"*Syntomerea (Strand, 1912)"
"Батамай"
"Arnoldidris (Brown, 1950)"
"Slemen (until 1952)"
"*Euzophera charlottae (Rebel, 1914)"
"Al-Jaheliyyeh, al-Jahiliya"
"* Odontoloma (Kunth)"
"*Tineola oblitescens (Meyrick, 1924 )"
"* Sinum tener (Smith, 1894)"
"Cerithium notatum (Menke, 1828)"
"*Mennis districta (Walker,[1865])"
"* Murex macgintyi (M. Smith, 1938)"
"* Cylindrostoma inerme (Hallez, 1879)"
"Fusivoluta elegans (Barnard, 1959)"
"ঢলুয়া"
"*P. spissicella"
"* Rhytiphora frenchi (Blackburn, 1895 nec 1890)"
"*Stalachtis phlegia susanna ab. pygmaea (d'Almeida, 1922)"
"एक मुखी दत्त, नारायणपूर, ता.पुरंदर जि.पुणे"
"* Phasiane (Duponchel, 1829)"
"* Purpura infumata (Hombron & Jacquinot, 1854)"
"*Semiophora opacifrons (Grote, 1878)"
"*Eutermes kotuae (Bugnion, 1914)"
"* Plinthocoelium sapphirum (Bates, 1879)"
"* Calliostoma (Maurea) waikanae forsteriana (Dell R.K., 1950)"
"*Tharmatographa (Diakonoff, 1977)"
"* Turbonilla oscitans (Lovén, 1846)"
"*Endagria algeriensis (Rambur, 1858)"
"*Meganola microphasma"
"*Gloeocystidiellum laevigatum (Fr.) Y.Hayashi (1974)"
"Farmton"
"*Nebria livida LeConte, 1859"
"*Stigmella juryi (Puplesis, 1991)"
"*Pionea scripturalis (Guenée, 1854)"
"*Hyperythra penicillaria (Guenée, 1857)"
"* Pseudagrion flavifrons (Needham & Gyger, 1939)"
"*Hippobosca ovina (Linnaeus,1758)"
"*Mycalesis alboplaga (Rebel, 1914)"
"*Alecto petasus( Düben & Koren, 1846)"
"*Dipsosphecia sirphiformis (Bartel, 1912)"
"Mummudi"
"Iribbin, Khirbat"
"*Podagrica unicolor  (Marseul, 1869)"
"* Myelophila (Treitschke, 1835)"
