,,,
,,,Cal Poly won the toss and deferred to the second half
,,,"James Langford kickoff 62 yards to the NIU8, Lewis, Tommylee return 24 yards to the NIU32 (Justin Webber;Trevor Weis)."
Niu,1-10,at Niu32,NORTHERN ILLINOIS drive start at 15:00.
Niu,1-10,at Niu32,"Hopkins, Jasmin rush for 6 yards to the NIU38 (Greg Francis)."
Niu,2-4,at Niu38,"HARNISH, Chand rush for 31 yards to the CP31, 1ST DOWN NIU (Greg Francis)."
Niu,1-10,at Cp31,"PENALTY CP face mask 10 yards to the CP21, 1ST DOWN NIU."
Niu,1-10,at Cp21,"HARNISH, Chand pass complete to PALMER, Nathan for 7 yards to the CP14 (V Smith-Johnson)."
Niu,2-3,at Cp14,"Daniels, Akeem rush for 3 yards to the CP11, 1ST DOWN NIU (Greg Francis)."
Niu,1-10,at Cp11,"Hopkins, Jasmin rush for 3 yards to the CP8 (Xavier Ramos;Sullivan Grosz)."
Niu,2-7,at Cp08,"HARNISH, Chand rush for 3 yards to the CP5 (Johnny Millard)."
Niu,3-4,at Cp05,"HARNISH, Chand pass incomplete to JOHNSON, Anthon (Asa Jackson)."
Niu,4-4,at Cp05,"Sims, Mathew field goal attempt from 22 GOOD, clock 12:03."
,,,"Northern Illinois 3, Cal Poly 0"
,,,"Drive: 8 plays, 63 yards, TOP 02:57"
,,,"Wedel, Tyler kickoff 62 yards to the CP8, Mark Rodgers return 11 yards to the CP19 (Bell, Cameron), PENALTY CP illegal block 10 yards to the CP9, 1st and 10, CP ball on CP9."
Cp,1-10,at Cp09,CAL POLY drive start at 12:03.
Cp,1-10,at Cp09,"Mark Rodgers rush for 2 yards to the CP11 (Davis, Tommy)."
Cp,2-8,at Cp11,"Mark Rodgers rush for 2 yards to the CP13 (Schiller, Pat;STONE, Demetriu)."
Cp,3-6,at Cp13,"Andre Broadous sacked for loss of 5 yards to the CP8 (Schiller, Pat)."
Cp,4-11,at Cp08,"Paul Hundley punt 45 yards to the NIU47, downed."
,,,"Drive: 3 plays, minus 1 yards, TOP 01:41"
Niu,1-10,at Niu47,NORTHERN ILLINOIS drive start at 10:22.
Niu,1-10,at Niu47,"Hopkins, Jasmin rush for 7 yards to the CP46 (Angel Morales)."
Niu,2-3,at Cp46,"Hopkins, Jasmin rush for 5 yards to the CP41, 1ST DOWN NIU (Angel Morales;Johnny Millard)."
Niu,1-10,at Cp41,"Ashford, Perez rush for 26 yards to the CP15, 1ST DOWN NIU (Greg Francis)."
Niu,1-10,at Cp15,"Hopkins, Jasmin rush for 2 yards to the CP13 (Erich Klemme;Johnny Millard)."
Niu,2-8,at Cp13,"HARNISH, Chand pass incomplete to Clark, Willie."
Niu,3-8,at Cp13,"Timeout Northern Illinois, clock 08:51."
Niu,3-8,at Cp13,"HARNISH, Chand rush for 11 yards to the CP2, 1ST DOWN NIU, out-of-bounds (Asa Jackson)."
Niu,1-G,at Cp02,"PENALTY CP unsportsmanlike conduct 1 yards to the CP1, 1ST DOWN NIU."
Niu,1-G,at Cp01,"Hopkins, Jasmin rush for 1 yard to the CP0, TOUCHDOWN, clock 08:35."
,,,"Sims, Mathew kick attempt good."
,,,"Northern Illinois 10, Cal Poly 0"
,,,"Drive: 7 plays, 53 yards, TOP 01:47"
,,,"Wedel, Tyler kickoff 49 yards to the CP21, Asa Jackson return 9 yards to the CP30, out-of-bounds (Ware, Dominique)."
Cp,1-10,at Cp30,CAL POLY drive start at 08:35.
Cp,1-10,at Cp30,"Jake Romanelli rush for 7 yards to the CP37 (Ward, Jimmie)."
